,Song_name,linkin-park
203,anymore   ,"""I don't know why I am here Listening to you anymore I can't explain how I feel anymore Do you even love me anymore"", ""There is something Crawling in the back of my head Saying why do I take this anymore There is something wrong"", ""And I can't take it any more There is something wrong And I can't take it any more"", ""Can you tell me why I am here hearing Things in the back of my head? Listening to things I have never heard before Things I thought I never would hear I guess thing aren't the same anymore"", ""There is something Crawling in the back of my head Saying why do I take this anymore There is something wrong"", ""And I can't take it any more There is something wrong And I can't take it any more"", ""Who cares about me Who cars about you things Just aren't the same anymore"", ""There is something Crawling in the back of my head Saying why do I take this anymore There is something wrong"", ""And I can't take it any more There is something wrong And I can't take it any more"""
204,faint   ,"""I am a little bit of loneliness, a little bit of disregard Handful of complaints but I can't help the fact That everyone can see these scars I am what I want you to want, what I want you to feel But it's like no matter what I do, I can't convince you To just believe this is real So I, let go watching you turn your back like you always do Face away and pretend I'm not But I'll be here 'cause you're all that I've got"", ""I can't feel the way I did before Don't turn your back on me I won't be ignored Time won't heal this damage anymore Don't turn your back on me I won't be ignored"", ""I am, a little bit insecure, a little unconfident 'Cause you don't understand I do what I can But sometimes I don't make sense I am, what you never want to say, but I've never had a doubt It's like no matter what I do I can't convince you for once just to hear me out So I, let go watching you turn your back like you always do You face away and pretend I'm not But I'll be here 'cause you're all that I've got"", ""I can't feel the way I did before Don't turn your back on me I won't be ignored Time won't heal this damage anymore Don't turn your back on me I won't be ignored"", ""You hear me out now You're gonna listen to me like it or not Right now, hear me out now You're gonna listen to me like it or not Right now"", ""I can't feel the way I did before Don't turn your back on me I won't be ignored Time won't heal this damage anymore Don't turn your back on me I won't be ignored"", ""I can't feel the way I did before Don't turn your back on me I won't be ignored Time won't heal this damage anymore Don't turn your back on me I won't be ignored"", ""I can't feel the way I did before Don't turn your back on me I won't be ignored Time won't heal this damage anymore Don't turn your back on me I won't be ignored"""
205,somewhere i belong   ,"""When this began I had nothing to say And I get lost in the nothingness inside of me (I was confused) And I let it all out to find That I'm not the only person with these things in mind (Inside of me) But all that they can see the words revealed Is the only real thing that I've got left to feel (Nothing to lose) Just stuck, hollow and alone And the fault is my own, and the fault is my own"", ""I wanna heal, I wanna feel what I thought was never real I wanna let go of the pain I've felt so long (Erase all the pain till it's gone) I wanna heal, I wanna feel like I'm close to something real I wanna find something I've wanted all along Somewhere I belong And I've got nothing to say I can't believe I didn't fall right down on my face"", ""(I was confused) Looking everywhere only to find That it's not the way I had imagined it all in my mind (So what am I) What do I have but negativity 'Cause I can't justify the way, everyone is looking at me"", ""(Nothing to lose) Nothing to gain, hollow and alone And the fault is my own, and the fault is my own I wanna heal, I wanna feel what I thought was never real I wanna let go of the pain I've felt so long"", ""(Erase all the pain till it's gone) I wanna heal, I wanna feel like I'm close to something real I wanna find something I've wanted all along Somewhere I belong"", ""I will never know myself until I do this on my own And I will never feel anything else, until my wounds are healed I will never be anything till I break away from me I will break away, I'll find myself today"", ""I wanna heal, I wanna feel what I thought was never real I wanna let go of the pain I've felt so long (Erase all the pain till it's gone) I wanna heal, I wanna feel like I'm close to something real"", ""I wanna find something I've wanted all along Somewhere I belong (I wanna heal, I wanna feel like I'm) somewhere I belong (I wanna heal, I wanna feel like I'm) somewhere I belong Somewhere I belong"""
206,what ive done german translation   ,"""In this farewell There's no blood, there's no alibi 'Cause I've drawn regret From the truth of a thousand lies"", ""So let mercy come and wash away What I've done"", ""I'll face myself To cross out what I've become Erase myself And let go of what I've done"", ""Put to rest What you thought of me While I clean this slate With the hands of uncertainty"", ""So let mercy come and wash away What I've done"", ""I'll face myself To cross out what I've become Erase myself And let go of what I've done"", ""For what I've done"", ""I start again And whatever pain may come Today this ends I'm forgiving what I've done"", ""I'll face myself To cross out what I've become Erase myself And let go of what I've done (Na-na na na) (Na-na na na) (Na-na na na)"", ""What I've done (Na-na na na) (Na-na na na)"", ""Forgiving what I've done (Na-na na na) (Na-na na na) (Na-na na na) (Na-na na)"""
207,by myself marilyn manson remix   ,"""What do I do to ignore them behind me? Do I follow my instincts blindly? Do I hide my pride from these bad dreams And give in to sad thoughts that are maddening?"", ""Do I sit here and try to stand it? Or do I try to catch them red-handed? Do I trust some and get fooled by phoniness Or do I trust nobody and live in loneliness?"", ""Because I can't hold on when I'm stretched so thin I make the right moves but I'm lost within I put on my daily facade but then I just end up getting hurt again"", ""By myself, I ask why, but in my mind I find I can't rely on myself I ask why, but in my mind I find I can't rely on myself"", ""I can't hold on (To what I want when I'm stretched so thin) It's all too much to take in I can't hold on (To anything watching everything spin) With thoughts of failure sinking in"", ""If I turn my back I'm defenseless And to go blindly seems senseless If I hide my pride and let it all go on then they'll Take from me 'til everything is gone"", ""If I let them go I'll be outdone But if I try to catch them I'll be outrun If I'm killed by the questions like a cancer Then I'll be buried in the silence of the answer"", ""By myself, I ask why, but in my mind I find I can't rely on myself I ask why, but in my mind I find I can't rely on myself"", ""I can't hold on (To what I want when I'm stretched so thin) It's all too much to take in I can't hold on (To anything watching everything spin) With thoughts of failure sinking in"", ""How do you think, I've lost so much? I'm so afraid, I'm out of touch How do you expect, I will know what to do? When all I know is what you tell me to"", ""Don't you know, I can't tell you how to make it go? No matter what I do, how hard I try I can't seem to convince myself why I'm stuck on the outside"", ""Don't you know, I can't tell you how to make it go? No matter what I do, how hard I try I can't seem to convince myself why I'm stuck on the outside"", ""I can't hold on (To what I want when I'm stretched so thin) It's all too much to take in I can't hold on (To anything watching everything spin) With thoughts of failure sinking in"", ""I can't hold on (To what I want when I'm stretched so thin) It's all too much to take in I can't hold on (To anything watching everything spin) With thoughts of failure sinking"""
208,izzo in the end   ,
209,one step closer   ,"""I cannot take this anymore Saying everything I've said before All these words they make no sense I find bliss in ignorance Less I hear the less you'll say You'll find that out anyway Just like before..."", ""Everything you say to me Takes me one step closer to the edge And I'm about to break I need a little room to breathe 'Cause I'm one step closer to the edge I'm about to break"", ""I find the answers aren't so clear Wish I could find a way to disappear All these thoughts they make no sense I find bliss in ignorance Nothing seems to go away Over and over again Just like before..."", ""Everything you say to me Takes me one step closer to the edge And I'm about to break I need a little room to breathe 'Cause I'm one step closer to the edge And I'm about to break"", ""Everything you say to me Takes me one step closer to the edge And I'm about to break I need a little room to breathe 'Cause I'm one step closer to the edge And I'm about to... Break"", ""Shut up when I'm talkin' to you! Shut up, shut up, shut up! Shut up when I'm talkin' to you! Shut up, shut up, shut up, shut up! I'm about to BREAK"", ""Everything you say to me Takes me one step closer to the edge And I'm about to break I need a little room to breathe 'Cause I'm one step closer to the edge And I'm about to break"", ""Everything you say to me Takes me one step closer to the edge And I'm about to break I need a little room to breathe 'Cause I'm one step closer to the edge And I'm about to... Break!"""
210,karma killer   ,"""I scream through the morning I'm kicking in the twilight as she comes Time waits at a darling Spooning the thickness out and feeding our open mouths"", ""The price you pay is always"", ""Chorus Too high, I'm too familiar Sunshine, Karma Killer"", ""Time waits at the darling When your following the animals around (around) I spread through the morning Feeding our open mouths and spooning the thickness out The price you pay is always Chorus (x2)"", ""My eyes are weary now My eyes are weary My eyes are weary now Chorus (x2)"", ""Karma Killer Will I ever miss you?"""
211,animals   ,"""his is where the pain comes from This is how the payback sounds This is why the fire goes up This is why the walls come down You ain't never been in these shoes Never know a word that I'm saying So the only thing to keep the blood flowing Is to let you know I'm not playing I'mma see your lies exposed I'mma see the justice done I'mma see the sun come back I'mma see the kingdome come Take it where it can't come back Take it where the shadows been Take it to the breaking point Take it to the end"", ""Saying that the end is near God, you have no idea Used to be afraid, but now Only thing I hear is fear This is where the line gets drawn Something that you've always known This is what you're hiding from True colors that are yours to own Give me back the fire I had Give me back the faith I lost Give me back the trust you broke Give me back the pride it cost Take the venom out of my blood Take the pain you put me in Take it when I tell you so Take it to the end"""
212,forgotten   ,"""From the top to the bottom, bottom to top, I stop At the core I've forgotten, in the middle of my thoughts Taken far from my safety, the picture's there The memory won't escape me, but why should I care?"", ""From the top to the bottom, bottom to top, I stop At the core I've forgotten, in the middle of my thoughts Taken far from my safety, the picture's there The memory won't escape me, but why should I care?"", ""Theres a place so dark you can't see the end Skies cock back and shock that which can't defend The rain then sends dripping, acidic questions, forcefully The power of suggestion, then with the eyes shut"", ""Looking through the rust and rot and dust A small spot of light floods the floor And pours over the rusted world of pretend And the eyes ease open and it's dark again"", ""From the top to the bottom, bottom to top, I stop At the core I've forgotten, in the middle of my thoughts Taken far from my safety, the picture's there The memory won't escape me, but why should I care?"", ""In the memory you'll find me, eyes burning up The darkness holding me tightly, until the sun rises up"", ""Moving all around, screaming of the ups and downs Pollution manifested in perpetual sound the wheels go round And the sunset creeps behind street lamps Chain link and concrete"", ""A little piece of paper with a picture drawn Floats on down the street till the wind is gone And the memory now is like the picture was then When the paper's crumpled up, it can't be perfect again"", ""From the top to the bottom, bottom to top, I stop At the core I've forgotten, in the middle of my thoughts Taken far from my safety, the picture's there The memory won't escape me, but why should I care?"", ""From the top to the bottom, bottom to top, I stop At the core I've forgotten, in the middle of my thoughts Taken far from my safety, the picture's there The memory won't escape me, but why should I care?"", ""In the memory you'll find me, eyes burning up The darkness holding me tightly, until the sun rises up"", ""Now you got me caught in the act, you bring the thought back I'm telling you that, I see it right through you"", ""Now you got me caught in the act, you bring the thought back I'm telling you that, I see it right through you Now you got me caught in the act, you bring the thought back I'm telling you that, I see it right through you Now you got me caught in the act, you bring the thought back I'm telling you that, I see it right through you Now you got me caught in the act, you bring the thought back I'm telling you that, I see it right through you Now you got me caught in the act, you bring the thought back I'm telling you that, I see it right through you Now you got me caught in the act, you bring the thought back I'm telling you that, I see it right through you In the memory you'll find me, eyes burning up The darkness holding me tightly, until the sun rises up In the memory, you will find me, eyes burning up The darkness holding me tightly, until the sun rises up"""
213,the untitled   ,"""It starts with one and multiplies, 'til you can taste the sun And burnt by the sky you try to take it from But if it falls, there's no place to run Crumbling down, it's so unreal They're dealing you in to determine your end And sending you back again, to places you've been And bending your will, 'til it breaks you within And, still, they fill their eyes With the twilight through the skylight And the highlights on a frame of steel See the brightness of your likeness As I write this on a pad, with the way I feel Hear the screaming, in my dreaming As it's seeming that you've played your part Like you're heartless, take apart this In the darkness, while I know that"", ""I tried so hard, and got so far But, in the end, it doesn't even matter I had to fall, to lose it all"", ""But, in the end, it doesn't even matter"", ""I've looked down the line and what's there is not what ought to be Held back by the battles they fought for me Calling me to be part of their property And now I see that I get no chance I get no break, fakes and snakes quickly lead to mistakes And as the tightrope within slowly starts to thin I can only hope that they close their eyes With the twilight through the skylight And the highlights on a frame of steel See the brightness of your likeness As I write this on a pad, with the way I feel Hear the screaming, in my dreaming As it's seeming that you've played your part"", ""Like you're heartless, take apart this In the darkness, while I know that"", ""I tried so hard, and got so far"", ""But, in the end, it doesn't even matter I had to fall, to lose it all But, in the end, it doesn't even matter"", ""I've put my trust in you, pushed as far as I can go For all this, there's only one thing you should know"", ""I've put my trust in you, pushed as far as I can go For all this, there's only one thing you should know I've put my trust in you, pushed as far as I can go For all this, there's only one thing you should know I tried so hard, and got so far But, in the end, it doesn't even matter I had to fall, to lose it all But, in the end, it doesn't even matter"""
214,xecutioner style   ,"""From the top"", ""SHUT UP! SHUT UP! SHUT UP! SHUT UP WHEN I'M TALKING TO YOU SHUT UP! SHUT UP! SHUT UP! SHUT UP! I'm about to br- Wasn't that fun? Let's try something else"", ""45 calibre killer from out of the filler"", ""Definitely going to show y'all brothers how you not a gorilla Smooth talking, fully automatic weapon concealer Taste thriller, break thriller Let's hit 'em with the bounce filler Filthy stinking, standing on solid ground And still be sinking, submerging in the parks Still be linking, plucked beef when it starts To fuck your thinking, it's not a mirage I'm in the motherfucking track, yo, from out the garage Well if you could duck but it's hard to dodge In the back of that spine where my darkness lies Flippin' straight up ripping apart your squad X-Ecutioner style cuts and blends like a syringe Hanging you from each of your limbs See me coming through the party hard Without no body guard Smoking something, stomping on each of you Tims I'm the B-to-the-L to A to C king And when it comes to planning The thought to keep thinking, man"", ""SHUT UP! SHUT UP! SHUT UP! SHUT UP! SHUT UP! SHUT UP! SHUT UP! SHUT UP!"""
215,in the end remix   ,"""It starts with One thing I don't know why It doesn't even matter how hard you try Keep that in mind I designed this rhyme To explain in due time"", ""All I know Time is a valuable thing Watch it fly by as the pendulum swings Watch it count down to the end of the day The clock ticks life away"", ""It's so unreal Didn't look out below Watch the time go right out the window Trying to hold on, but didn't even know Or wasted it all just to watch you go"", ""I kept everything inside And even though I tried, it all fell apart What it meant to me will eventually be A memory of a time when"", ""I tried so hard and got so far But in the end it doesn't even matter I had to fall to lose it all But in the end it doesn't even matter"", ""One thing, I don't know why It doesn't even matter how hard you try Keep that in mind I designed this rhyme To remind myself how"", ""I tried so hard In spite of the way you were mocking me Acting like I was part of your property Remembering all the times you fought with me I'm surprised"", ""It got so far Things aren't the way they were before You wouldn't even recognize me anymore Not that you knew me back then But it all comes back to me in the end"", ""You kept everything inside And even though I tried, it all fell apart What it meant to me will eventually be A memory of a time when"", ""I tried so hard and got so far But in the end it doesn't even matter I had to fall to lose it all But in the end it doesn't even matter"", ""I've put my trust in you Pushed as far as I can go And for all this There's only one thing you should know"", ""I've put my trust in you Pushed as far as I can go And for all this There's only one thing you should know"", ""I tried so hard and got so far But in the end it doesn't even matter I had to fall to lose it all But in the end it doesn't even matter"""
216,dedicated remix   ,"""I have a dream of a scene between the green hills Clouds pull away and the sunlight's revealed People don't talk about keeping it real It's understood that they actually will And intoxicated and stimulated emcees Staring in the trees, paranoid are gone in the breeze Watch them flee, hip-hop hits Take a walk with me and what you'll see Is a land where the sand is made up of crushed up wax And the sky beyond you is krylon blue And everybody speaks in a dialect of rhyme And emcees have left materialism behind them Meanwhile I just grip my mic And hope me and my team make it through alright Because say what you will and say what you might But don't ignore who it's for at the end of the night"", ""Because this is dedicated to the kids Dedicated to wherever music lives Dedicated to those tired of the same old same And dedicated to the people advancing the game What's real is the kids who know that something's wrong What's real is the kids who think they don't belong What's real is the kids who have nowhere to run Who are hiding in the shadows waiting for the sun"", ""I've seen a lot of shit, I've talked to a bum"", ""Out on sunset strip, he asked me how would you feel If everybody acted like you didn't exist? You'd lose your grip, probably eventually flip So let it be known, the only reason that we do this Is so you can pick it up and just bang your head to it While emcees fight to see who can be the commonest Be floating overhead like a space odyssey monolith Over seeing the game, over being part of the same old thing It's all gonna change in a hurricane of darkness and pain And acidic rain and promises that you won't do it again Meanwhile I just grip my mic And hope me and my team make it through alright Because say what you will and say what you might"", ""But don't ignore who it's for at the end of the night Because this is dedicated to the kids"", ""Dedicated to wherever music lives Dedicated to those tired of the same old same And dedicated to the people advancing the game What's real is the kids who know that something's wrong What's real is the kids who think they don't belong What's real is the kids who have nowhere to run"", ""Who are hiding in the shadows waiting for the sun Pulling me close, the shadow is warm inside This is where I feel at home, this is my place to hide"", ""Pulling me close, the shadow is warm inside This is where I feel at home, this is my place to hide This is dedicated to the kids Dedicated to wherever music lives"", ""Dedicated to those tired of the same old same And dedicated to the people advancing the game What's real is the kids who know that something's wrong What's real is the kids who think they don't belong"", ""What's real is the kids who have nowhere to run Who are hiding in the shadows waiting for the sun This is dedicated to the kids Dedicated to wherever music lives Dedicated to those tired of the same old same And dedicated to the people advancing the game What's real, everybody who doesn't feel safe What's real, everybody who knows they're out of place What's real, anybody with nowhere to run Who hides in the shadows waiting for the sun"""
218,dedicated   ,"""I have a dream of a scene between the green hills Clouds pull away and the sunlight's revealed People don't talk about keeping it real It's understood that they actually will And intoxicated and stimulated emcees Staring in the trees, paranoid are gone in the breeze Watch them flee, hip-hop hits Take a walk with me and what you'll see Is a land where the sand is made up of crushed up wax And the sky beyond you is krylon blue And everybody speaks in a dialect of rhyme And emcees have left materialism behind them Meanwhile I just grip my mic And hope me and my team make it through alright Because say what you will and say what you might But don't ignore who it's for at the end of the night"", ""Because this is dedicated to the kids Dedicated to wherever music lives Dedicated to those tired of the same old same And dedicated to the people advancing the game What's real is the kids who know that something's wrong What's real is the kids who think they don't belong What's real is the kids who have nowhere to run Who are hiding in the shadows waiting for the sun"", ""I've seen a lot of shit, I've talked to a bum"", ""Out on sunset strip, he asked me how would you feel If everybody acted like you didn't exist? You'd lose your grip, probably eventually flip So let it be known, the only reason that we do this Is so you can pick it up and just bang your head to it While emcees fight to see who can be the commonest Be floating overhead like a space odyssey monolith Over seeing the game, over being part of the same old thing It's all gonna change in a hurricane of darkness and pain And acidic rain and promises that you won't do it again Meanwhile I just grip my mic And hope me and my team make it through alright Because say what you will and say what you might"", ""But don't ignore who it's for at the end of the night Because this is dedicated to the kids"", ""Dedicated to wherever music lives Dedicated to those tired of the same old same And dedicated to the people advancing the game What's real is the kids who know that something's wrong What's real is the kids who think they don't belong What's real is the kids who have nowhere to run"", ""Who are hiding in the shadows waiting for the sun Pulling me close, the shadow is warm inside This is where I feel at home, this is my place to hide"", ""Pulling me close, the shadow is warm inside This is where I feel at home, this is my place to hide This is dedicated to the kids Dedicated to wherever music lives"", ""Dedicated to those tired of the same old same And dedicated to the people advancing the game What's real is the kids who know that something's wrong What's real is the kids who think they don't belong"", ""What's real is the kids who have nowhere to run Who are hiding in the shadows waiting for the sun This is dedicated to the kids Dedicated to wherever music lives Dedicated to those tired of the same old same And dedicated to the people advancing the game What's real, everybody who doesn't feel safe What's real, everybody who knows they're out of place What's real, anybody with nowhere to run Who hides in the shadows waiting for the sun"""
219,in pieces   ,"""Telling me to go But hands beg me to stay Your lips say that you love Your eyes say that you hate"", ""There's truth in your lies Doubt in your faith What you build you lay to waste"", ""There's truth in your lies Doubt in your faith All I've got's what you didn't take"", ""So I, I won't be the one Be the one to leave this In pieces"", ""And you, you will be alone Alone with all your secrets And regrets, don't lie"", ""You promised me the sky Then tossed me like a stone You wrap me in your arms And chill me to the bone"", ""There's truth in your lies Doubt in your faith All I've got's what you didn't take"", ""So I, I won't be the one Be the one to leave this In pieces"", ""And you, you will be alone Alone with all your secrets And regrets, don't lie So I, I won't be the one Be the one to leave this In pieces And you, you will be alone Alone with all your secrets And regrets, don't lie"""
220,roads untraveled remix   ,"""Weep not for roads untraveled Weep not for paths left lone Cause beyond every bend is a long blinding end It's the worst kind of pain I've known"", ""Give up your heart left broken And let that mistake pass on Cause the love that you lost wasn't worth what it cost And in time, you'll be glad it's gone Gone, gone, gone, gone, gone, gone, gone, gone..."", ""Well, it's our life and it's our time And it's our place, and it's our choice These are all our thoughts with our views, Out of our minds with our voice It's our oath to this generation, They call it fake, we call it fate You see, they don't like us or understand us, and they just hope we all fall away But we won't stop And we won't quit And we won't settle for what they give And we'll keep on standing Keep on fighting, no backing down That's how we're living Our minds are made up and we're focused No more believing what we've been told 'Cause our bags are packed, There's no turning back We walk alone on these winding roads"", ""Weep not for roads untraveled Weep not for sights unseen May your love never end and if you need a friend There's a seat here alongside me"", ""May your love never end and if you need a friend There's a seat here alongside me"""
221,mydsmbr   ,
222,reading my eyes xero 1997 demo   ,"""The microphone molester, machete undresser \""Stupid-dope-fresh\"" type shit resurrector Top gun, Miramar best-of-the-best-er The leave-an-MC-peace-in-rest-er Skill tester, the flex-the-gunner The make-funner, the adversary make runner Make summer cold with rhymes I spit Kick gift to lifted delinquent wit I be the prophet, my rhyme--top it? Stop it. Fly like rocket when I rock it Lock it down with this perverse verse Every fuckin curse a burst of hurt Move crowds: physical fitness rhymes Coke heads couldn't do my lines I'm decorated like christmas pines My battalion rocks MCs become silohetes of chalk"", ""Reading my eyes will say it in many ways Losing my pride will save it in many days"", ""Hit the dirt because the words I spit will Do more than just rip your shirt I'll bitch slap your soul, contact the track control You're coming at me? You can't hack it though So ridiculous, watching my crew get sick of this Wickedness, pitchin' this, lyrical viciousness To crews and cliques, made of men and mistresses This is my life: the twilight and the fight night And trying to see nothing but the highlights when I write These eyes on horizons, die for my song, cry rhymes in Krylon Fire on, move men telekinetically Esoterically beat-speaking with clarity Feel my verity, heroism of heresy And sever every MC I see with severity"", ""Reading my eyes will say it in many ways Losing my pride will save it in many days"", ""Why not... what I came... Why not... what I came..."", ""Why not give me what I came to deserve? Why not give me what I came to believe? Why not give me what I came to deserve? Why not give me what I came to believe?"", ""Reading my eyes will say it in many ways Losing my pride will save it in many days"""
223,warrior   ,"""We are one we are the warrior never stepping back never looking back"""
224,step up   ,
225,heavy disero remix   ,"""I don't like my mind right now Stacking up problems that are so unneccessary Wish that I could slow things down I wanna let go but there's comfort in the panic And I drive myself crazy Thinking everything's about me Yeah, I drive myself crazy 'Cause I can't escape the gravity I'm holding on Why is everything so heavy Holding on To so much more than I can carry I keep dragging around what's bringing me down If I just let go I'd be set free Holding on Why is everything so heavy Why is everything so heavy You say that I'm paranoid But I'm pretty sure the world is out to get me It's not like I made the choice To let my mind stay so fucking messy I know I'm not the center of the universe But you keep spinning 'round me just the same I know I'm not the center of the universe But you keep spinning 'round me just the same I'm holding on Why is everything so heavy Holding on To so much more than I can carry I keep dragging around what's bringing me down If I just let go I'd be set free Holding on Why is everything so heavy Why is everything so heavy I know I'm not the center of the universe But you keep spinning 'round me just the same I know I'm not the center of the universe But you keep spinning 'round me just the same Holding on Why is everything so heavy Holding on To so much more than I can carry I keep dragging around what's bringing me down If I just let go I'd be set free Holding on Why is everything so heavy Why is everything so heavy Why is everything so heavy Why is everything so heavy Why is everything so heavy"""
226,nobody can save me   ,"""I'm dancing with my demons I'm hanging off the edge Storm clouds gather beneath me Waves break above my head Headfirst hallucination"", ""I wanna fall wide awake now You tell me it's alright Tell me I'm forgiven, tonight"", ""But nobody can save me now I'm holding up a light I'm chasing out the darkness inside 'Cause nobody can save me"", ""Stared into this illusion For answers yet to come I chose a false solution But nobody proved me wrong, no Headfirst hallucination"", ""I wanna fall wide awake Watch the ground giving way now You tell me it's alright Tell me I'm forgiven, tonight"", ""But nobody can save me now I'm holding up a light I'm chasing out the darkness inside 'Cause nobody can save me"", ""Been searching somewhere out there For what's been missing right here (I wanna fall wide awake now) I've been searching somewhere out there For what's been missing right here (I wanna fall wide awake now) I wanna fall wide awake now So tell me it's alright Tell me I'm forgiven, tonight"", ""And only I can save me now I'm holding up a light Chasing out the darkness inside And I don't wanna let you down But only I can save me!"", ""Been searching somewhere out there For what's been missing right here"""
227,ill be gone   ,"""Like shining oil, this night, is dripping down, stars are slipping down, glistening And I'm trying not, to think what, I'm leaving now, no deceiving now It's time you, let me know, let me know"", ""When the lights go out and we open our eyes, out there, in the silence, I'll be gone, I'll be gone Let the sun fade out and another one rise, climbing through tomorrow, I'll be gone, I'll be gone"", ""This air between us, is getting thinner now, into winter now, bitter sweet Across that horizon, this sun, is setting down, you're forgetting now It's time you, let me go, let me go"", ""When the lights go out and we open our eyes, out there, in the silence, I'll be gone, I'll be gone Let the sun fade out and another one rise, climbing through tomorrow, I'll be gone, I'll be gone"", ""And tell them I, couldn't help myself and tell them I, was alone Oh, tell me I, am the only one and there's nothing left, to stop me"", ""When the lights go out and we open our eyes, out there, in the silence, I'll be gone, I'll be gone Let the sun fade out and another one rise, climbing through tomorrow, I'll be gone, I'll be gone I'll be gone (I'll be gone)"""
228,war   ,"""There's no peace, only war, victory decides who's wrong or right. It will not cease, only grow you better be prepared to fight. And it will not apologize for laying down your life."", ""War!"", ""There's no pain it will spare fear has become your only right. And once you're lost in your despair forever black eternal night. And it will not apologize for laying down your life."", ""War, destroyer! War, destroyer!"", ""It needs no side to justify laying down your life!"", ""War, destroyer! War!"""
229,talking to myself   ,"""Tell me what I gotta do There's no getting through to you The lights are on but nobody's home (nobody's home) You say I can't understand But you're not giving me a chance When you leave me, where do you go? (Where do you go?)"", ""All the walls that you keep building All this time that I spent chasing All the ways that I keep losing you"", ""The truth is, you turn into someone else You keep running like the sky is falling I can whisper, I can yell But I know, yeah I know, yeah I know I'm just talking to myself Talking to myself Talking to myself But I know, yeah I know, yeah I know I'm just talking to myself"", ""I admit I made mistakes But yours might cost you everything Can't you hear me calling you home?"", ""All the walls that you keep building All this time that I spent chasing All the ways that I keep losing you"", ""The truth is, you turn into someone else You keep running like the sky is falling I can whisper, I can yell But I know, yeah I know, yeah I know I'm just talking to myself Talking to myself Talking to myself But I know, yeah I know, yeah I know I'm just talking to myself"", ""All the walls that you keep building All this time that I spent chasing All the ways that I keep losing you"", ""The truth is, you turn into someone else You keep running like the sky is falling I can whisper, I can yell But I know, yeah I know, yeah I know I'm just talking to myself Talking to myself Talking to myself But I know, yeah I know, yeah I know I'm talking to myself"""
230,crawling   ,"""Crawling in my skin These wounds they will not heal Fear is how I fall Confusing what is real"", ""There's something inside me that pulls beneath the surface Consuming Confusing This lack of self-control I fear is never-ending Controlling I can't seem To find myself again My walls are closing in Without a sense of confidence I'm convinced that there's just too much pressure to take I've felt this way before"", ""So insecure"", ""Crawling in my skin These wounds they will not heal"", ""Fear is how I fall Confusing what is real"", ""Discomfort endlessly has pulled itself upon me Distracting Reacting Against my will I stand beside my own reflection It's haunting How I can't seem To find myself again My walls are closing in Without a sense of confidence"", ""I'm convinced that there's just too much pressure to take I've felt this way before So insecure"", ""Crawling in my skin These wounds they will not heal Fear is how I fall Confusing what is real"", ""Crawling in my skin These wounds they will not heal Fear is how I fall Confusing, confusing what is real There's something inside me that pulls beneath the surface Consuming Confusing what is real This lack of self-control I fear is never-ending Controlling Confusing what is real"""
231,da bloos   ,"""Baby, I said baby I'm gonna leave you baby I'm gonna leave you baby I'm gonna tie you up to the railroad tracks"", ""I said baby, I said baby I'm gonna leave you I'm gonna leave you baby I'm gonna tie you up to the railroad tracks"", ""Gonna tie you up to the railroad tracks I'm gonna tie you up Leave you down there by the railroad tracks When the train comes by, it's gonna take you away Ooh yeah"""
232,blue   ,"""[Verse 1]In the dark days, I'll part ways with the blame, trying to maintain But it's still all the same, it's all a game Hear my name in the rain, And the pain I wear on my face with a tear stain You feign fondness, And honestly it's time to give you a piece of my mind And show you that you're blind and, In the design, of the world I call mine Know that you can't stand on both sides of the line"", ""[Pre-Chorus]Everything is my fault (It's all the same, just pass me the blame) The problems have two faces Everything is my fault (It's all the same, just pass me the blame) The problems have two faces"", ""[Chorus]Pass all the blame over to me It will come eventually Take the time out to examine All these questions honestly"", ""[Verse 2]With my eyes shut I'm seeing the truth in your words The absurd, slurred into beauty to be heard You swim through deceit, the lies that you tell The stories you sell, knowing you well I keep distance. And every instance, You keep your thoughts concealed What I feel, just another spoke in the wheel All or nothin', thrown down and trampled by your heel"", ""And eaten away by my own version of the real"", ""[Pre-Chorus]Everything is my fault (It's all the same, just pass me the blame) The problems have two faces Everything is my fault (It's all the same, just pass me the blame) The problems have two faces"", ""[Chorus]Pass all the blame over to me It will come eventually Take the time out to examine All these questions honestly"", ""[Outro](Darkens to black) Nothing, thrown down (It's all the same, just pass me the blame) Trampled by your heel (Play the game and win a tear stain) Eaten by my own (Pass the blame 'cause you'll feel it if you don't) Version of the real (I'll scar dead and get your mind, get your brain) (Darkens to black) Nothing, thrown down (It's all the same, just pass me the blame) Trampled by your heel (Play the game and win a tear stain) Eaten by my own (Pass the blame 'cause you'll feel it if you don't) Version of the real (I'll scar dead and get your mind, get your brain)"""
234,stay alive   ,"""Your fingers were crossed behind your back before you ever gave me a chance But now I have learned, to trust myself and I dont need anyone else No one's here to light the candle No one's here to light the way It's something I will have to handle Someday"", ""Ive got to open up my eyes Find a way to kill the boredom Watch the time go by, now its time for me to get mine."", ""Out of room out of places to hide Backed up in the corner I know I will stay alive"", ""The lights are still on and I am still here theres nothing left to fear A vision Ive seen, a fire will burn no longer will I wait my turn. No one's here to light the candle No one's here to light the way It's something I will have to handle my way"", ""Ive got to open up my eyes Find a way to kill the boredom Watch the time go by, now its time for me to get mine."", ""Out of room out of places to hide Backed up in the corner I know I will stay alive"", ""Stay alive"", ""This time its time for me to get mine."", ""Out of room out of places to hide Backed up in the corner still I know I will stay alive."""
